brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
464,3657.06,Sterling St & Nostrand Ave,40.66318,-73.95076,23,1245,10.2,79.3,54.1
465,3871.02,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,21,1243,10.75,91.2,59.2
465,3952.07,Lincoln Pl & Nostrand Ave,40.67077,-73.9507,25,1243,11.59,83.3,49.7
467,4903.09,Dock St & Front St,40.702709,-73.99253,29,1242,14.9,77.3,42.8
468,4617.01,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,24,1241,12.07,82.8,51.7
469,5743.02,Calyer St & Jewel St,40.72984,-73.94839,40,1240,11.39,91.0,31.0
470,3911.05,Eastern Pkwy & Nostrand Ave,40.66967,-73.9503,27,1238,10.64,82.6,45.9
471,5323.06,Sharon St & Olive St,40.715341620424475,-73.93865078687668,24,1231,10.13,86.4,51.3
471,4143.04,3 Ave & Carroll St,40.677027,-73.9865,27,1231,11.14,90.3,45.6
473,3611.02,Prospect Park SW & 10 Ave,40.659945,-73.977504,30,1229,10.58,83.2,41.0
474,5371.07,Frost St & Meeker Ave,40.71766197083994,-73.94880026578903,38,1227,10.17,88.2,32.3
475,4057.04,Brooklyn Ave & Prospect Pl,40.67412,-73.94447,25,1222,12.05,82.7,48.9
476,3922.02,10 St & 2 Ave,40.671907,-73.993612,19,1220,10.96,91.0,64.2
477,3498.09,Prospect Park SW & 16 St,40.657265,-73.974165,33,1219,11.0,88.4,36.9
478,4873.08,Evergreen Ave & Noll St,40.70106,-73.93318,25,1207,14.23,79.7,48.3
479,5656.03,N Henry St & Norman Ave,40.7277,-73.94395,23,1195,9.94,89.2,52.0
480,4914.03,Bushwick Ave & Forrest St,40.70076,-73.93641,20,1192,10.92,87.2,59.6
481,4889.06,Bus Slip & State St,40.701907,-74.013942,69,1191,17.48,69.6,17.3
481,5036.06,Leonard St & Boerum St,40.70583339,-73.94644578,24,1191,11.88,87.1,49.6
483,4850.04,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,19,1186,12.51,88.7,62.4
