geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005024000,Bronx,40.84162341116138,-73.86887593262806,4575.0,76250.0,34.5,52.9,0.0,0,Gap Zone
36005031000,Bronx,40.861245074561076,-73.83601505940767,4572.0,121617.0,3.2,17.4,0.0,0,Gap Zone
36005005001,Bronx,40.824996988856284,-73.87785329384062,4565.0,34087.0,67.4,62.4,0.0,0,Gap Zone
36005044400,Bronx,40.89950045974236,-73.84373441416967,4504.0,99960.0,40.1,41.1,0.0,0,Gap Zone
36005002001,Bronx,40.81739417360889,-73.86788068010435,4461.0,24684.0,76.8,64.5,0.0,0,Gap Zone
36005000100,Bronx,40.7927222018266,-73.88360337913771,4446.0,-666666666.0,,,,0,Gap Zone
36005021601,Bronx,40.837538704472166,-73.86482204347769,4421.0,45156.0,64.3,66.9,0.56,0,Gap Zone
36005042000,Bronx,40.89302614181619,-73.85985561867395,4396.0,32672.0,63.8,46.8,0.0,0,Gap Zone
36005038000,Bronx,40.878087967208295,-73.86241723639259,4327.0,41942.0,69.0,55.9,3.75,0,Gap Zone
36005008600,Bronx,40.81987887628112,-73.84980595936622,4304.0,23987.0,77.1,38.8,0.0,0,Gap Zone
36005051601,Bronx,40.843706689563014,-73.7860563517227,4292.0,129109.0,12.7,20.6,0.0,0,Gap Zone
36005004800,Bronx,40.82701718408407,-73.87430442779906,4261.0,34436.0,73.8,64.4,0.0,0,Gap Zone
36005039600,Bronx,40.884423804241564,-73.85895558916182,4205.0,41547.0,64.5,52.9,0.0,0,Gap Zone
36005046206,Bronx,40.87544855736021,-73.82784563844602,4094.0,48475.0,48.3,47.8,0.0,0,Gap Zone
36005018400,Bronx,40.837415886120624,-73.82928130300887,4085.0,117819.0,23.4,34.7,0.0,0,Gap Zone
36005032800,Bronx,40.86173640345333,-73.86313007153748,4003.0,46648.0,60.3,53.6,2.83,0,Gap Zone
36005044200,Bronx,40.90387101498618,-73.84620606339844,3947.0,40089.0,47.4,43.8,0.0,0,Gap Zone
36005043400,Bronx,40.89821071964025,-73.85233921461453,3946.0,71849.0,41.1,37.7,0.0,0,Gap Zone
36005006400,Bronx,40.83301265292675,-73.87219576847208,3928.0,24730.0,63.5,57.6,0.0,0,Gap Zone
