station_id,station_name,borough,lat,lon,capacity,total_trips,avg_duration_min,member_trips,member_pct,trips_per_dock
4bc6f4d0-edd5-4eb0-a704-f7ce0d693aac,Grand Ave & W Fordham Rd,Bronx,40.86288,-73.90316,22,183,8.79,139,76.0,8.32
1887292564377354448,E 191 St & Bathgate Ave,Bronx,40.8601,-73.8866,30,182,12.94,133,73.1,6.07
1d3a8670-09b3-4127-b750-af5311e565f0,Mount Eden Pkwy & Eastburn Ave,Bronx,40.842675,-73.908544,19,181,12.26,151,83.4,9.53
9af90faf-0b9b-451b-9cb0-20ff421ca1d9,E 165 St & Fox St,Bronx,40.82394,-73.894025,27,181,9.8,147,81.2,6.7
1860188907884823208,E 180 St & Monterey Ave,Bronx,40.85025,-73.89301,21,181,9.83,158,87.3,8.62
c3062f44-c5b9-4650-a4ec-cc66cbf5b944,Grand Concourse & E 199 St,Bronx,40.87142,-73.88839,21,180,9.87,133,73.9,8.57
c8c39d85-4ce7-46c5-b709-998067200780,Bedford Park Blvd & Paul Ave,Bronx,40.87444,-73.89186,24,180,10.65,127,70.6,7.5
a724eb92-55ca-4b9f-9a87-c2e87b3cbd40,W Tremont Ave & Grand Ave,Bronx,40.850036,-73.912785,21,180,11.43,151,83.9,8.57
23bc4d9b-1ec2-45fb-9228-e41517346b24,Academy St & Nagle Ave,Bronx,40.862562,-73.922661,20,179,10.94,156,87.2,8.95
1869753340438110380,Southern Blvd & E 187 St,Bronx,40.8535,-73.88177,23,175,11.49,101,57.7,7.61
df243d7f-e6ae-435c-9895-aecbcff9cada,Prospect Ave & Longwood Ave,Bronx,40.81899,-73.90202,29,175,9.73,144,82.3,6.03
ba7bf20d-b6bc-43dd-bf30-acb940eaeec8,University Ave & W 168 St,Bronx,40.838706,-73.927034,18,174,12.81,149,85.6,9.67
1862008413697896912,E 180 St & Prospect Ave,Bronx,40.84696,-73.88663,22,173,17.47,136,78.6,7.86
1861680103893703034,Sedgwick Ave & W 195 St,Bronx,40.87049,-73.90287,21,173,10.5,122,70.5,8.24
0e82ab9f-8c93-4302-b9df-342f8135a05c,W 204 St & Nagle Ave,Bronx,40.863211,-73.920827,20,172,11.13,125,72.7,8.6
c9cd8c29-7f0b-4979-9a0e-bec4613d2600,Audubon Ave & W 192 St,Bronx,40.85589030603889,-73.92708241939545,21,167,13.67,146,87.4,7.95
1862008701134683118,Arthur Ave & E 183 St,Bronx,40.85307,-73.88953,25,166,10.8,147,88.6,6.64
1862787990429630662,Giles Pl & Fort Independence St,Bronx,40.87869,-73.89862,19,165,9.81,106,64.2,8.68
b471c112-1770-4dfe-9e13-fe7479dcb5a5,Intervale Ave & Westchester Ave,Bronx,40.821967,-73.896752,27,165,11.73,131,79.4,6.11
79c4a612-a5df-4814-9e6b-6305da61ebc4,Inwood Ave & W 170 St,Bronx,40.840536,-73.919228,21,163,8.69,121,74.2,7.76
1860187430946456420,E 176 St & Clinton Ave,Bronx,40.84311,-73.89149,20,162,16.62,140,86.4,8.1
d9ea5210-50b3-4342-9801-f896bd21f4a1,Bainbridge Ave & E 198 St,Bronx,40.8684871,-73.8884559781,23,162,9.24,141,87.0,7.04
8456b63c-37c6-49a6-8c02-bb6dcfc35041,Seaman Ave & Isham St,Bronx,40.869898661940454,-73.92076313495636,23,160,15.23,131,81.9,6.96
89ff4db3-8a29-4565-a366-6fea4b3afc39,Dyckman St & Henshaw St,Bronx,40.867357,-73.92936,19,156,23.55,113,72.4,8.21
5d994b32-b7a5-450d-9bbb-93bf3b03e6d5,Intervale Ave & Kelly St,Bronx,40.827301,-73.896372,20,155,6.59,138,89.0,7.75
1861678548643203686,Crotona Pkwy & Bronx Park S,Bronx,40.84784,-73.883,25,154,9.48,105,68.2,6.16
1885442082749874736,Grand Concourse & E 176 St,Bronx,40.84761,-73.90745,22,154,12.34,125,81.2,7.0
fec4aa1b-9fc1-4dd9-ab39-c1d7370a6e54,Hunts Point Ave & Bryant Ave,Bronx,40.813991,-73.8855,21,151,15.78,112,74.2,7.19
1a5eae13-8f27-4875-8330-a796c95f8ad6,E 169 St & Fox St,Bronx,40.827184,-73.893721,19,151,9.92,118,78.1,7.95
f001fac9-5f19-451e-a752-afde574a8c81,Paul Ave & Mosholu Pkwy,Bronx,40.8802945,-73.8860653648,19,151,17.93,125,82.8,7.95
1860188194745712748,Park Ave & E 179 St,Bronx,40.85014,-73.89818,25,150,10.98,137,91.3,6.0
1862788101231526152,Broadway & W 234 St,Bronx,40.88185,-73.90291,30,148,12.88,108,73.0,4.93
1869753484503987044,Sedgwick Ave & W 231 St,Bronx,40.87512,-73.90126,19,147,9.78,80,54.4,7.74
023cf549-bd85-4f9a-abd8-70ba29d7e86b,W Tremont Ave & Montgomery Ave,Bronx,40.851788,-73.916418,21,145,9.66,104,71.7,6.9
1860189650739626488,E 188 St & Hughes Ave,Bronx,40.8561,-73.88625,21,144,9.65,111,77.1,6.86
1096fc76-794e-4343-8eb0-0dd6c9a48266,E 201 St & Briggs Ave,Bronx,40.87207,-73.88459,19,141,11.98,99,70.2,7.42
c602146e-d69d-43b6-9e8f-054c4df5377e,Seneca Ave & Irvine St,Bronx,40.81872569990116,-73.88862490653992,19,140,19.33,121,86.4,7.37
1860189426558126796,E 182 St & Park Ave,Bronx,40.85455,-73.89507,23,139,17.84,108,77.7,6.04
1877651952425321214,Bronx Park S & Bryant Ave,Bronx,40.84437,-73.87796,19,136,13.88,107,78.7,7.16
3e4a2c26-7527-469c-b4f4-1ef8d40fd20d,Sedgwick Ave & W Burnside Ave,Bronx,40.854947,-73.916661,17,136,17.09,94,69.1,8.0
1861681740276243358,Irwin Ave & W 232 St,Bronx,40.88227,-73.90809,20,136,15.23,92,67.6,6.8
ffae66ec-7c16-436f-bd0a-eedf81d580e7,E Mosholu Pkwy & Van Cortlandt Ave E,Bronx,40.87656,-73.88366,22,135,21.39,91,67.4,6.14
158e7752-27e2-4912-be0b-eb15405aa096,10 Ave & W 215 St,Bronx,40.86932465640094,-73.91519755125046,21,135,9.96,114,84.4,6.43
