stop_id,stop_name,lat,lon
302591,GERRITSEN AV/EVERETT AV,40.593164,-73.925642
302603,GERRITSEN AV/GOTHAM AV,40.591837,-73.923872
302592,GERRITSEN AV/GOTHAM AV,40.591897,-73.924218
302609,GERRITSEN AV/WHITNEY AV,40.598454,-73.931232
302586,GERRITSEN AV/WHITNEY AV,40.598506,-73.931596
308652,GRAVESEND NECK RD/E 29 ST,40.599885,-73.942643
901263,KNAPP ST/HARKNESS AV,40.586626,-73.931703
300350,KNAPP ST/HARKNESS AV,40.58644,-73.93159
300351,KNAPP ST/SHORE PKWY,40.585035,-73.931329
901011,KNAPP ST/SHORE PKWY,40.585064,-73.93134
308699,KNAPP ST/SHORE PKWY,40.585012,-73.931329
801143,MACKENZIE LOOP (Last stop),40.578107,-73.940647
901473,MACKENZIE LOOP (no G-A-R: use 300000),40.578205,-73.939748
308129,NEPTUNE AV/BRIGHTON 10 ST,40.582407,-73.957472
300373,NEPTUNE AV/BRIGHTON 4 ST,40.580928,-73.964947
300328,NEPTUNE AV/BRIGHTON 6 ST,40.581349,-73.962444
300372,NEPTUNE AV/BRIGHTON 6 ST,40.581281,-73.963246
300329,NEPTUNE AV/CONEY ISLAND AV,40.581974,-73.959499
300370,NEPTUNE AV/CONEY ISLAND AV,40.581873,-73.960418
300369,NEPTUNE AV/E 12 ST,40.582484,-73.957604
300374,NEPTUNE AV/OCEAN PKWY,40.580502,-73.96715
302807,NEPTUNE AV/OCEAN PKWY,40.580154,-73.968083
300326,NEPTUNE AV/OCEAN PKWY,40.580395,-73.966949
306280,NEPTUNE AV/OCEAN PKWY,40.580344,-73.968131
308128,NEPTUNE AV/SHORE BLVD,40.583018,-73.954431
307318,NOSTRAND AV/AVENUE V,40.599455,-73.94165
308361,NOSTRAND AV/AVENUE V,40.597747,-73.941419
302827,NOSTRAND AV/AVENUE V,40.598171,-73.941333
302826,NOSTRAND AV/AVENUE W,40.595788,-73.940882
302831,NOSTRAND AV/AVENUE W,40.596019,-73.941155
308715,NOSTRAND AV/AVENUE X,40.594789,-73.940677
302825,NOSTRAND AV/AVENUE X,40.594243,-73.940584
302832,NOSTRAND AV/AVENUE X,40.593865,-73.940669
302833,NOSTRAND AV/AVENUE Y,40.591347,-73.940284
308122,NOSTRAND AV/AVENUE Y,40.592022,-73.940115
302823,NOSTRAND AV/AVENUE Z,40.589929,-73.939713
302834,NOSTRAND AV/AVENUE Z,40.589656,-73.939965
302829,NOSTRAND AV/GRAVESEND NECK RD,40.599972,-73.941874
300347,NOSTRAND AV/SHORE PKWY,40.585898,-73.939036
